content,label
"aplikasi tokopedia makin cepat checkout-nya, puas banget belanja di sini",1
Setelah update malah ga bisa login 😭 kecewa parah,0
"harga bersaing banget, barang cepat sampai, recommended seller",1
"fitur refund lama banget, udah seminggu belum cair",0
"aplikasi ringan dan tampilannya enak dipakai, good job!",1
"pengiriman cepet banget, baru pesen kemaren hari ini sampe. produk sesuai deskripsi.",1
"ga bisa masukin alamat baru, error terus 😤",0
pelayanan customer service sangat membantu waktu pesanan saya nyangkut,1
"barang dikirim tapi no resi kosong, gimana mau dilacak?",0
"udah bayar tapi status masih pending, tolong dong",0
"sering crash waktu buka keranjang belanja, tolong diperbaiki",0
tokopedia aplikasi paling recommended karena banyak gratis ongkir,1
"terima kasih tokopedia, barang sesuai deskripsi dan pengiriman cepat 🙏",1
semenjak terintegrasi dari tiktok belanja disini makin puas,1
"pesanan hilang, cs malah suruh nunggu terus 😡",0
kecewa! pesen warna hitam datengnya navy. seller di chat ga bales,0
"adminnya ramah bgt, mau jawab pertanyaan2 aku. barangnya juga bagus. next order lagi.",1
"katanya ori, tau2nya kw. ga lagi deh beli disini.",0
Lumayan lah dapet harga flash sale. barangnya ok.,1
Kualitas produk sangat baik. Harga produk sangat baik. Kecepatan pengiriman sangat baik,1
packingnya cuma pake plastik item doang. untung barangnya ga kenapa2,0
Pesenannya kapan dikirim kenapaa lamaaaaa bangett!!,0
Palsu. Jangan mau beli di toko ini,0
"bagus banget, produk original dan harga bersahabat",1
"nyoba lagi setelah lama ga pakai, sekarang jauh lebih stabil 💪",1
voucher ga bisa dipakai padahal masih berlaku,0
"proses refund lama banget, pelayanan nya juga lama! duit saya ga kembali",0
Pelayanan bintang 5. Barang original. Harga bersaing,1
Lucu banget. Real picture. Gak nyesel.,1
aplikasi lambat banget loading-nya akhir-akhir ini 😩,0
"barang sampai cepat banget, padahal estimasi 3 hari",1
aplikasinya error pas mau bayar pake gopay 😤,0
"Wah sekarang tampilannya lebih fresh, suka banget!",1
Toko Gajelass!! pesanan dibatalkan sepihak tanpa alasan,0
udah nunggu seminggu tapi barang ga dikirim-kirim ,0
"diskon besar tapi ongkirnya mahal banget, kecewa",0
"barang dikemas rapi banget, seller-nya recommended",1
"thank you tokopedia, barang bagus banget sesuai foto",1
"error pas login pake akun google, tolong fix in dongg",0
"produk original, pengiriman cepat, puas banget!",1
rating udah 5 bintang tapi tetap aja aplikasi crash,0
"super cepat pengiriman, baru pesan pagi sore udah datang 🚚",1
"semua berjalan lancar, transaksi aman dan mudah",1
"Sudah jarang ada gratis ongkir, sekalinya ada harus ada minimal spend nya dulu",0
"ga bisa klik tombol checkout, parah banget",0
"stok barang kosong terus, padahal di etalase masih ada",0
fitur paylater-nya ngebantu banget pas tanggal tua,1
"CS-nya ga tanggap, kecewa berat 😠!!!",0
udah update malah ga bisa buka app sama sekali,0
"produk tidak lengkap, tidak seperti ecommerce sebelah dan ongkir nya suka gabisa dipake",0
"notifikasi suka delay, tolong diperbaiki 🙏",0
"harga naik drastis, padahal minggu lalu masih murah",0
"pesanan salah ukuran, ribet proses retur",0
"seller ramah, dikasih bonus kecil juga 😍",1
"ga bisa apply voucher diskon, padahal masih valid",0
"barang bagus, dikirim cepet, dan harganya terjangkau",1
"saya sudah bertahun-tahun pakai Tokopedia dan sejauh ini belum pernah kecewa, barang selalu datang tepat waktu dan sesuai deskripsi",1
"fitur notifikasi sangat membantu saya untuk tahu promo-promo terbaru tanpa harus buka aplikasi""",1
